aibo1,aibo2,aibo3,aibo4,aibo5,Sector
-39,-44,-50,-73,-76,25
-39,-39,-50,-63,-73,25
-45,-33,-46,-70,-72,25
-45,-36,-49,-69,-80,25
-44,-36,-47,-62,-71,25
-42,-45,-46,-68,-73,25
-52,-49,-53,-73,-82,26
-57,-46,-56,-65,-81,26
-52,-54,-57,-74,-72,26
-52,-52,-53,-75,-80,26
-51,-46,-64,-70,-73,26
-54,-45,-57,-70,-82,26
-52,-41,-60,-80,-76,26
-50,-44,-55,-76,-76,26
-57,-48,-51,-69,-73,26
-58,-45,-55,-61,-74,26
-59,-47,-50,-63,-77,26
-58,-50,-51,-65,-66,26
-55,-47,-50,-71,-68,26
-51,-45,-48,-70,-67,26
-51,-38,-50,-64,-70,26
-47,-36,-53,-68,-71,26
-50,-49,-55,-69,-82,26
-54,-55,-63,-72,-77,26
-52,-54,-61,-72,-78,26
-50,-47,-54,-74,-81,26
-49,-38,-61,-71,-73,26
-48,-43,-56,-70,-82,26
-48,-42,-58,-72,-79,26
-52,-49,-49,-67,-79,26
-54,-57,-50,-69,-76,26
-51,-52,-52,-79,-74,26
-51,-46,-58,-78,-79,26
-48,-45,-59,-78,-81,26
-47,-45,-54,-62,-77,26
-42,-38,-59,-67,-79,26
-48,-44,-94,-68,-72,26
-45,-65,-65,-73,-87,27
-46,-59,-64,-85,-83,27
-48,-55,-65,-77,-83,27
-38,-65,-66,-79,-74,27
-47,-54,-58,-77,-78,27
-49,-52,-57,-76,-80,27
-51,-61,-67,-75,-78,27
-56,-52,-60,-77,-76,27
-48,-51,-51,-67,-71,27
-46,-45,-52,-61,-72,27
-54,-46,-51,-62,-73,27
-50,-49,-52,-64,-67,27
-52,-50,-55,-71,-74,27
-53,-55,-58,-75,-77,27
-51,-53,-55,-73,-76,27
-43,-59,-62,-80,-84,27
-44,-60,-71,-75,-82,27
-43,-56,-67,-73,-76,27
-44,-57,-57,-78,-76,27
-53,-60,-61,-77,-75,27
-50,-58,-62,-70,-79,27
-51,-57,-60,-73,-77,27
-53,-55,-62,-75,-80,27
-47,-55,-56,-78,-78,27
-44,-58,-56,-78,-78,27
-37,-58,-64,-75,-80,27
-40,-54,-63,-73,-79,27
-49,-58,-65,-75,-74,27
-45,-53,-55,-70,-75,27
-46,-60,-57,-70,-74,27
-52,-53,-62,-68,-75,27
-52,-53,-58,-69,-72,27
