aibo1,aibo2,aibo3,aibo4,aibo5,Sector
-71,-74,-52,-49,-48,6
-76,-72,-46,-45,-47,6
-71,-76,-45,-48,-46,6
-77,-73,-54,-53,-51,6
-74,-68,-49,-46,-50,6
-67,-69,-45,-46,-53,6
-66,-74,-42,-49,-44,6
-73,-69,-49,-48,-47,6
-73,-69,-46,-44,-47,6
-73,-67,-46,-50,-47,6
-80,-72,-56,-58,-46,6
-78,-72,-52,-64,-48,6
-75,-72,-55,-56,-51,6
-72,-77,-51,-53,-47,6
-71,-72,-42,-46,-47,6
-72,-68,-42,-45,-44,6
-66,-66,-40,-44,-43,6
-71,-73,-45,-50,-42,6
-77,-72,-51,-54,-48,6
-75,-76,-53,-50,-47,6
-72,-71,-45,-47,-46,6
-73,-69,-42,-47,-41,6
-74,-75,-46,-47,-46,6
-76,-70,-43,-45,-47,6
-78,-71,-43,-48,-38,6
-70,-77,-45,-53,-45,7
-75,-76,-45,-44,-46,7
-80,-72,-45,-46,-49,7
-75,-82,-55,-54,-49,7
-74,-74,-53,-57,-45,7
-79,-71,-55,-56,-51,7
-66,-64,-38,-42,-46,7
-69,-68,-39,-44,-46,7
-69,-71,-39,-41,-50,7
-74,-63,-40,-45,-48,7
-74,-66,-35,-40,-44,7
-70,-66,-36,-42,-47,7
-67,-67,-35,-42,-43,7
-68,-69,-35,-48,-48,7
-68,-78,-47,-44,-44,7
-75,-75,-47,-50,-44,7
-73,-77,-52,-44,-46,7
-73,-75,-51,-49,-40,7
-72,-76,-51,-50,-46,7
-73,-76,-56,-53,-45,7
-70,-74,-53,-55,-43,7
-75,-73,-59,-56,-41,7
-74,-76,-46,-48,-44,7
-74,-73,-48,-51,-43,7
-70,-76,-48,-48,-46,7
-78,-73,-45,-51,-42,7
-73,-74,-49,-46,-42,7
-73,-75,-49,-45,-43,7
-83,-75,-47,-49,-54,7
-78,-73,-47,-53,-48,7
-80,-70,-62,-54,-44,8
-83,-74,-59,-56,-41,8
-79,-79,-62,-58,-47,8
-82,-76,-53,-54,-44,8
-78,-82,-67,-60,-45,8
-75,-75,-61,-48,-39,8
-74,-74,-58,-53,-44,8
-68,-66,-54,-48,-48,8
-72,-76,-45,-51,-46,8
-68,-69,-45,-49,-53,8
-76,-74,-45,-44,-44,8
-76,-74,-48,-45,-36,8
-76,-74,-52,-51,-38,8
-78,-73,-52,-47,-38,8
-73,-73,-52,-44,-37,8
-76,-72,-52,-48,-38,8
-82,-74,-66,-51,-46,8
-76,-76,-52,-57,-35,8
-78,-79,-53,-56,-43,8
-75,-79,-51,-52,-39,8
-78,-75,-50,-46,-38,8
-77,-70,-50,-51,-54,8
-76,-79,-61,-54,-42,8
-82,-80,-57,-53,-43,8
-73,-75,-59,-50,-44,8
-78,-62,-61,-57,-43,8
-73,-74,-52,-49,-37,8
-71,-72,-45,-42,-36,8
-75,-72,-55,-49,-38,8
-73,-70,-51,-48,-31,8
-73,-74,-60,-52,-38,8
-76,-77,-50,-56,-48,8
-76,-71,-54,-56,-43,9
-73,-75,-58,-50,-40,9
-73,-70,-55,-46,-40,9
-72,-76,-56,-50,-37,9
-75,-76,-51,-55,-37,9
-80,-69,-51,-59,-37,9
-78,-69,-48,-48,-41,9
-84,-78,-54,-60,-43,9
-76,-72,-52,-61,-38,9
-76,-79,-58,-52,-46,9
-69,-73,-48,-49,-46,9
