sexo,est.civil,sede,gpo.prof,class,zona,r.edad
0,2,0,15,4,4,1
1,2,0,15,4,4,1
1,2,0,15,4,4,1
0,2,0,15,4,4,2
0,2,0,15,4,2,1
1,0,0,15,4,4,4
0,2,0,15,4,4,1
1,2,0,15,4,5,2
1,2,0,15,4,5,2
1,2,0,15,4,5,2
1,2,0,15,4,4,5
1,2,0,15,4,7,1
0,2,0,15,4,4,3
0,2,0,15,4,4,3
0,0,0,15,4,8,2
1,2,0,15,4,4,4
0,2,0,15,4,1,1
0,2,0,15,4,4,1
1,2,0,15,4,3,1
1,2,0,15,4,3,1
1,2,0,16,4,4,2
0,2,0,2,4,7,3
0,2,0,13,4,4,2
1,2,0,15,4,4,2
1,0,0,2,4,4,4
0,0,0,0,4,3,5
0,0,0,0,4,4,2
1,0,0,2,4,4,4
0,2,0,15,4,8,5
0,2,0,5,2,4,1
0,2,1,10,2,4,1
1,2,1,10,2,5,2
0,2,0,0,2,4,2
1,2,0,4,2,7,4
0,2,0,4,2,4,1
0,2,0,4,2,4,3
0,2,0,7,2,4,1
1,2,0,7,2,4,2
0,2,1,2,2,4,2
1,2,0,7,2,8,3
1,2,0,7,2,3,1
1,0,0,7,2,8,1
1,2,0,7,2,4,3
1,2,0,7,2,4,2
1,2,0,7,2,4,1
1,2,0,7,2,5,1
1,2,1,7,2,2,1
1,2,0,7,2,4,2
1,2,0,7,2,4,2
0,2,0,7,2,3,2
0,2,0,7,2,4,2
0,2,0,7,2,4,1
1,2,0,9,2,8,1
0,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,0,9,2,4,2
1,2,1,9,2,4,1
1,2,1,9,2,4,1
1,2,0,12,2,4,4
1,2,0,12,2,4,4
0,2,0,13,2,4,1
0,2,0,15,2,4,1
0,2,0,15,2,2,1
0,2,0,15,2,3,1
1,2,0,13,2,5,1
1,2,1,9,2,1,1
1,2,3,9,2,7,1
1,2,2,9,2,8,2
1,2,2,9,2,8,2
0,2,0,9,2,4,1
0,2,2,9,2,5,5
1,2,3,15,2,4,1
1,2,2,15,2,8,3
1,2,0,15,2,1,1
1,0,0,5,5,7,3
1,2,0,12,5,4,2
0,2,0,12,5,4,2
0,2,0,5,5,8,1
0,2,0,5,5,4,1
0,2,0,5,5,4,1
1,2,0,5,5,4,1
1,2,0,10,5,8,2
1,2,0,10,5,4,2
1,2,0,10,5,5,2
0,2,0,10,5,4,1
0,2,0,9,5,4,1
0,2,0,9,5,7,1
0,2,0,9,5,4,1
1,2,0,9,5,4,1
0,2,0,9,5,4,1
1,2,0,9,5,3,1
1,2,0,9,5,3,1
1,2,0,9,5,4,2
1,2,0,9,5,2,2
0,2,0,9,5,8,2
0,2,0,9,5,8,2
0,2,0,15,5,4,1
0,2,0,15,5,7,1
1,2,0,15,5,4,1
1,2,0,15,5,4,1
0,2,0,15,5,1,1
0,2,0,15,5,4,1
1,2,0,2,5,4,5
1,2,0,2,5,4,5
1,2,0,2,5,4,5
1,2,0,4,5,4,5
1,2,0,9,5,4,5
0,2,0,9,5,2,5
1,2,0,15,5,1,1
0,2,0,15,5,8,5
0,2,0,15,5,4,5
0,2,0,5,5,2,1
0,2,0,7,5,3,1
0,2,0,2,5,4,2
0,2,1,15,4,4,0
0,2,0,5,4,7,1
0,2,0,0,4,8,2
0,2,0,0,4,8,2
0,0,0,6,4,8,4
0,2,0,7,4,4,3
0,0,0,9,4,4,2
0,0,0,9,4,3,3
0,2,0,9,4,8,5
0,2,0,9,4,8,5
1,2,0,9,4,7,5
1,2,0,9,4,3,3
0,2,0,12,4,4,2
0,2,0,15,4,8,5
0,2,0,15,4,8,5
0,2,0,15,4,8,2
0,2,0,9,4,3,2
1,2,0,4,0,4,2
0,2,1,15,0,5,4
0,2,0,9,2,4,1
1,2,0,9,2,7,1
0,2,0,5,5,4,2
0,2,0,5,5,4,1
0,2,0,2,5,4,2
0,2,0,9,5,4,2
0,2,0,9,5,4,3
1,2,0,12,5,8,2
1,2,0,15,5,0,1
0,2,0,15,5,2,1
0,2,0,13,5,4,1
0,0,0,5,4,4,3
0,0,0,5,4,4,2
0,2,0,2,4,8,2
0,2,0,2,4,4,4
0,0,0,2,4,8,4
0,2,0,2,4,4,2
0,2,0,10,4,4,1
0,2,0,0,4,4,1
1,2,0,0,4,4,3
1,2,0,0,4,8,2
0,0,0,0,4,4,3
0,2,0,0,4,4,2
1,2,0,0,4,8,2
0,2,0,0,4,4,2
0,2,0,0,4,8,2
0,2,0,0,4,4,2
0,0,0,4,4,4,4
0,2,0,4,4,4,2
1,2,0,20,4,5,2
0,2,0,7,4,4,1
0,2,0,9,4,7,2
0,2,0,9,4,4,2
0,2,0,9,4,7,2
0,2,0,9,4,4,1
0,2,3,9,4,3,1
0,2,0,9,4,8,2
1,2,0,12,4,8,3
0,2,0,18,4,4,4
0,2,0,15,4,4,2
0,0,0,15,4,3,5
0,2,0,15,4,8,5
0,2,0,15,4,4,2
1,2,0,15,4,4,2
1,2,0,15,4,4,1
0,2,0,15,4,4,4
0,2,0,15,4,8,2
0,2,0,15,4,4,4
1,2,0,15,4,1,1
0,0,0,16,4,4,4
0,0,0,16,4,4,4
0,0,0,18,4,4,3
1,0,0,5,4,4,3
0,2,0,5,4,8,3
0,2,0,2,4,4,1
0,2,0,2,4,3,1
0,2,0,2,4,3,3
0,2,0,2,4,4,2
0,2,0,2,4,7,2
0,2,0,2,4,7,1
0,2,0,15,4,6,3
0,2,0,0,4,4,2
0,2,1,0,4,4,2
0,2,0,0,4,4,1
0,2,0,6,4,3,1
1,2,0,0,4,4,1
0,2,1,0,4,4,1
0,2,0,0,4,4,2
1,2,0,0,4,3,1
0,2,0,0,4,3,1
0,2,0,0,4,4,4
0,2,0,19,4,4,2
0,2,0,4,4,7,3
0,2,0,4,4,4,2
1,2,0,6,4,2,1
0,2,0,7,4,4,1
0,2,0,7,4,3,1
0,2,0,14,4,4,1
0,2,0,7,4,4,1
0,2,0,8,4,4,3
0,2,0,2,4,4,3
0,2,1,9,4,4,4
0,2,0,9,4,4,1
0,2,0,9,4,8,1
0,2,0,9,4,4,1
0,2,0,9,4,8,2
1,2,0,9,4,8,3
0,2,0,9,4,1,1
0,2,1,9,4,5,2
