aibo1,aibo2,aibo3,aibo4,aibo5,class
-79,-74,-61,-53,-52,10
-80,-78,-61,-54,-49,10
-69,-71,-51,-44,-58,10
-74,-73,-53,-46,-58,10
-76,-70,-51,-42,-57,10
-75,-73,-48,-44,-57,10
-78,-74,-48,-45,-54,10
-73,-73,-52,-47,-54,10
-72,-73,-49,-47,-57,10
-69,-77,-49,-43,-56,10
-71,-73,-49,-47,-54,10
-71,-74,-49,-45,-48,10
-69,-74,-53,-45,-54,10
-74,-72,-56,-45,-55,11
-74,-69,-53,-44,-56,11
-69,-66,-52,-44,-51,11
-70,-66,-56,-44,-48,11
-67,-64,-58,-44,-52,11
-81,-75,-60,-55,-54,11
-80,-75,-61,-55,-53,11
-79,-75,-60,-50,-50,11
-75,-76,-55,-47,-51,11
-83,-74,-57,-47,-54,11
-78,-74,-58,-50,-55,11
-78,-73,-56,-46,-55,11
-76,-71,-66,-50,-53,11
-75,-69,-55,-59,-58,11
-75,-69,-60,-45,-59,11
-74,-71,-50,-49,-53,11
-70,-72,-58,-49,-53,11
-75,-70,-53,-42,-53,12
-72,-67,-53,-42,-47,12
-69,-71,-54,-42,-49,12
-72,-67,-46,-43,-46,12
-73,-67,-61,-56,-57,12
-75,-68,-55,-52,-55,12
-76,-69,-60,-52,-57,12
-76,-73,-57,-50,-51,12
-76,-67,-58,-43,-56,12
-78,-71,-61,-47,-52,12
-77,-69,-60,-45,-52,12
-75,-67,-60,-45,-58,12
-75,-68,-56,-46,-56,12
-75,-64,-58,-43,-55,12
-70,-68,-62,-47,-53,12
-76,-72,-62,-49,-53,12
-76,-73,-58,-43,-52,12
-70,-74,-46,-40,-45,13
-72,-73,-49,-35,-51,13
-72,-74,-53,-40,-49,13
-72,-70,-54,-37,-49,13
-72,-69,-46,-37,-54,13
-69,-68,-42,-42,-50,13
-69,-69,-46,-47,-46,13
-74,-68,-45,-37,-49,13
-64,-64,-46,-31,-48,13
-67,-64,-51,-35,-41,13
-67,-65,-40,-36,-47,13
-68,-64,-40,-43,-51,13
-68,-67,-41,-54,-53,13
-76,-74,-56,-43,-50,13
-67,-69,-47,-34,-41,13
-65,-65,-44,-35,-37,13
-67,-64,-47,-47,-41,13
-67,-62,-42,-39,-45,13
-67,-63,-44,-43,-47,13
-74,-64,-45,-45,-51,13
-70,-72,-49,-46,-58,13
-72,-73,-53,-47,-48,13
-72,-72,-53,-47,-48,13
-77,-71,-54,-39,-45,13
-72,-67,-48,-39,-41,13
-72,-68,-47,-41,-45,13
-68,-64,-43,-42,-45,13
-68,-62,-45,-41,-49,13
-73,-71,-58,-50,-53,14
-74,-72,-55,-50,-55,14
-74,-70,-61,-47,-55,14
-75,-69,-61,-47,-52,14
-77,-72,-56,-79,-52,14
-68,-71,-58,-47,-50,14
-69,-66,-54,-35,-46,14
-67,-68,-54,-36,-50,14
-73,-70,-58,-48,-58,14
-73,-72,-60,-53,-58,14
-77,-69,-61,-50,-59,14
-74,-71,-58,-46,-60,14
-75,-67,-55,-46,-64,14
-71,-69,-56,-51,-56,14
-77,-69,-62,-51,-60,14
-74,-72,-66,-45,-59,14
-72,-68,-63,-45,-50,14
-72,-66,-57,-45,-57,14
-71,-59,-47,-55,-68,15
-68,-61,-43,-53,-68,15
-71,-61,-46,-53,-68,15
-66,-62,-46,-53,-68,15
-68,-58,-54,-71,-65,15
-72,-62,-58,-67,-65,15
-72,-64,-56,-64,-62,15
-74,-66,-52,-64,-62,15
-68,-64,-47,-57,-69,15
-67,-69,-47,-51,-69,15
-67,-71,-45,-58,-67,15
-72,-64,-47,-55,-74,15
-75,-66,-51,-58,-74,15
-71,-67,-51,-56,-68,15
-76,-66,-48,-59,-67,15
-73,-69,-51,-56,-66,15
-61,-57,-41,-56,-69,16
-66,-58,-41,-54,-62,16
-59,-53,-46,-57,-62,16
-60,-56,-38,-54,-63,16
-61,-55,-37,-60,-70,16
-65,-61,-46,-61,-72,16
-69,-61,-48,-61,-68,16
-65,-57,-54,-63,-68,16
-65,-61,-50,-64,-68,16
-67,-61,-51,-73,-65,16
-62,-57,-38,-57,-70,16
-62,-65,-46,-60,-67,16
-68,-66,-46,-60,-67,16
-60,-58,-42,-57,-65,16
-64,-57,-41,-61,-70,16
-66,-58,-45,-56,-69,16
-66,-58,-51,-60,-68,16
-61,-54,-44,-55,-68,16
-63,-55,-54,-60,-69,16
-58,-54,-44,-60,-68,17
-57,-49,-40,-58,-64,17
-60,-49,-43,-58,-59,17
-54,-52,-40,-50,-59,17
-50,-52,-40,-50,-61,17
-58,-53,-40,-50,-61,17
-62,-60,-43,-60,-61,17
-64,-54,-46,-60,-69,17
-64,-55,-39,-54,-58,17
-62,-49,-37,-57,-56,17
-58,-51,-37,-49,-60,17
-60,-60,-43,-55,-64,17
-67,-61,-47,-59,-72,17
-63,-55,-48,-61,-70,17
-64,-56,-44,-57,-63,17
-60,-54,-43,-52,-59,17
-58,-51,-41,-53,-55,17
-61,-55,-44,-56,-63,17
-63,-57,-43,-66,-69,17
-58,-48,-43,-54,-60,17
-56,-48,-39,-54,-60,17
-56,-48,-36,-51,-59,17
-60,-51,-40,-47,-58,17
-59,-55,-41,-52,-56,17
