aibo1,aibo2,aibo3,aibo4,aibo5,class
-76,-69,-56,-41,-46,12
-76,-69,-54,-37,-48,12
-64,-61,-52,-34,-45,12
-70,-71,-52,-36,-41,12
-74,-71,-54,-37,-42,12
-73,-70,-51,-41,-41,12
-69,-67,-48,-38,-51,12
-64,-64,-50,-40,-56,12
-71,-70,-50,-37,-39,12
-74,-72,-49,-37,-42,12
-72,-65,-46,-29,-46,13
-69,-67,-46,-31,-40,13
-74,-66,-45,-41,-46,13
-71,-64,-42,-38,-46,13
-69,-65,-35,-34,-51,13
-68,-64,-50,-35,-40,13
-66,-67,-39,-33,-39,13
-71,-67,-47,-35,-40,13
-73,-69,-47,-35,-52,13
-62,-66,-45,-36,-49,13
-68,-65,-40,-29,-36,13
-73,-64,-35,-34,-41,13
-73,-65,-46,-45,-41,13
-67,-63,-38,-32,-49,13
-67,-73,-43,-37,-56,13
-67,-63,-50,-33,-48,13
-66,-66,-51,-46,-49,13
-71,-62,-35,-32,-37,13
-71,-55,-39,-36,-47,13
-63,-63,-46,-36,-42,13
-74,-73,-49,-33,-47,13
-67,-61,-44,-34,-52,13
-76,-56,-36,-31,-42,13
-67,-64,-36,-32,-36,13
-68,-65,-49,-41,-44,14
-66,-59,-50,-34,-54,14
-71,-67,-52,-40,-48,14
-72,-69,-52,-36,-50,14
-70,-65,-65,-40,-41,14
-67,-73,-54,-34,-40,14
-70,-65,-51,-39,-39,14
-69,-61,-50,-47,-52,14
-71,-60,-53,-42,-51,14
-66,-67,-47,-39,-53,14
-74,-66,-49,-37,-54,14
-65,-64,-50,-41,-45,14
-66,-54,-50,-36,-54,14
-71,-61,-50,-41,-56,14
-66,-58,-33,-54,-61,15
-58,-55,-33,-52,-59,15
-67,-58,-40,-50,-56,15
-65,-62,-47,-51,-55,15
-66,-52,-47,-56,-58,15
-62,-57,-48,-58,-65,15
-66,-65,-34,-58,-61,15
-70,-56,-36,-62,-76,15
-58,-55,-34,-53,-72,15
-56,-53,-40,-49,-60,15
-61,-58,-37,-50,-64,15
-62,-60,-42,-52,-52,15
-67,-59,-39,-49,-60,15
-60,-53,-36,-52,-60,15
-58,-58,-38,-52,-63,15
-61,-55,-37,-45,-67,15
-68,-58,-32,-49,-59,15
-55,-52,-33,-43,-54,16
-59,-51,-38,-52,-54,16
-54,-55,-30,-50,-55,16
-58,-46,-30,-56,-67,16
-56,-57,-41,-52,-57,16
-62,-57,-39,-53,-57,16
-65,-49,-47,-51,-57,16
-57,-56,-35,-52,-60,16
-63,-56,-32,-54,-59,16
-63,-44,-28,-56,-58,16
