Beacon,RSSI
F7:24:98:9B:B6:EA,-58
FB:D3:B5:B9:89:F2,-75
C8:5B:EA:43:6F:75,-49
F7:24:98:9B:B6:EA,-73
FB:D3:B5:B9:89:F2,-69
C8:5B:EA:43:6F:75,-59
EA:EF:87:2F:4D:93,-71
EA:EF:87:2F:4D:93,-62
F7:24:98:9B:B6:EA,-59
C9:EC:7A:17:D8:D5,-68
FB:D3:B5:B9:89:F2,-79
C8:5B:EA:43:6F:75,-49
EA:EF:87:2F:4D:93,-65
C2:5C:4F:67:3B:30,-64
F7:24:98:9B:B6:EA,-74
C9:EC:7A:17:D8:D5,-72
FB:D3:B5:B9:89:F2,-70
C8:5B:EA:43:6F:75,-59
EA:EF:87:2F:4D:93,-70
F7:24:98:9B:B6:EA,-58
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-49
F7:24:98:9B:B6:EA,-60
C9:EC:7A:17:D8:D5,-69
EA:EF:87:2F:4D:93,-72
FB:D3:B5:B9:89:F2,-72
F7:24:98:9B:B6:EA,-59
C9:EC:7A:17:D8:D5,-70
C8:5B:EA:43:6F:75,-48
FB:D3:B5:B9:89:F2,-75
EA:EF:87:2F:4D:93,-64
C9:EC:7A:17:D8:D5,-74
FB:D3:B5:B9:89:F2,-70
C8:5B:EA:43:6F:75,-56
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-58
DF:77:36:CF:E5:BB,-77
FB:D3:B5:B9:89:F2,-76
C9:EC:7A:17:D8:D5,-72
C8:5B:EA:43:6F:75,-48
EA:EF:87:2F:4D:93,-65
F7:24:98:9B:B6:EA,-60
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-59
F7:24:98:9B:B6:EA,-71
C9:EC:7A:17:D8:D5,-73
FB:D3:B5:B9:89:F2,-72
C8:5B:EA:43:6F:75,-49
EA:EF:87:2F:4D:93,-65
F7:24:98:9B:B6:EA,-61
C9:EC:7A:17:D8:D5,-74
C8:5B:EA:43:6F:75,-56
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-62
F7:24:98:9B:B6:EA,-73
C8:5B:EA:43:6F:75,-58
C9:EC:7A:17:D8:D5,-67
C9:EC:7A:17:D8:D5,-75
FB:D3:B5:B9:89:F2,-73
EA:EF:87:2F:4D:93,-65
F7:24:98:9B:B6:EA,-60
C8:5B:EA:43:6F:75,-57
C9:EC:7A:17:D8:D5,-75
EA:EF:87:2F:4D:93,-62
F7:24:98:9B:B6:EA,-69
C8:5B:EA:43:6F:75,-58
FB:D3:B5:B9:89:F2,-73
F7:24:98:9B:B6:EA,-59
F7:24:98:9B:B6:EA,-61
C8:5B:EA:43:6F:75,-48
EA:EF:87:2F:4D:93,-63
F7:24:98:9B:B6:EA,-69
FB:D3:B5:B9:89:F2,-76
C9:EC:7A:17:D8:D5,-74
F7:24:98:9B:B6:EA,-59
C8:5B:EA:43:6F:75,-58
EA:EF:87:2F:4D:93,-62
C8:5B:EA:43:6F:75,-55
C9:EC:7A:17:D8:D5,-74
FB:D3:B5:B9:89:F2,-74
F7:24:98:9B:B6:EA,-58
C8:5B:EA:43:6F:75,-48
C9:EC:7A:17:D8:D5,-68
FB:D3:B5:B9:89:F2,-69
EA:EF:87:2F:4D:93,-63
F7:24:98:9B:B6:EA,-73
C8:5B:EA:43:6F:75,-56
C9:EC:7A:17:D8:D5,-74
FB:D3:B5:B9:89:F2,-74
EA:EF:87:2F:4D:93,-71
F7:24:98:9B:B6:EA,-58
C8:5B:EA:43:6F:75,-48
C2:3E:2C:2F:BD:30,-63
FB:D3:B5:B9:89:F2,-70
EA:EF:87:2F:4D:93,-65
F7:24:98:9B:B6:EA,-69
C8:5B:EA:43:6F:75,-55
C9:EC:7A:17:D8:D5,-71
FB:D3:B5:B9:89:F2,-71
EA:EF:87:2F:4D:93,-62
F7:24:98:9B:B6:EA,-60
C8:5B:EA:43:6F:75,-48
FB:D3:B5:B9:89:F2,-72
F7:24:98:9B:B6:EA,-71
C8:5B:EA:43:6F:75,-56
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-61
C8:5B:EA:43:6F:75,-48
C9:EC:7A:17:D8:D5,-74
FB:D3:B5:B9:89:F2,-73
EA:EF:87:2F:4D:93,-65
F7:24:98:9B:B6:EA,-71
C8:5B:EA:43:6F:75,-58
C9:EC:7A:17:D8:D5,-68
FB:D3:B5:B9:89:F2,-71
EA:EF:87:2F:4D:93,-63
F7:24:98:9B:B6:EA,-61
C8:5B:EA:43:6F:75,-57
C9:EC:7A:17:D8:D5,-75
FB:D3:B5:B9:89:F2,-69
C8:5B:EA:43:6F:75,-60
C9:EC:7A:17:D8:D5,-68
FB:D3:B5:B9:89:F2,-70
EA:EF:87:2F:4D:93,-63
F7:24:98:9B:B6:EA,-61
FB:D3:B5:B9:89:F2,-71
FB:D3:B5:B9:89:F2,-73
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-71
F7:24:98:9B:B6:EA,-59
C8:5B:EA:43:6F:75,-60
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-65
F7:24:98:9B:B6:EA,-61
C8:5B:EA:43:6F:75,-49
C9:EC:7A:17:D8:D5,-74
FB:D3:B5:B9:89:F2,-75
EA:EF:87:2F:4D:93,-71
EA:EF:87:2F:4D:93,-63
F7:24:98:9B:B6:EA,-74
C8:5B:EA:43:6F:75,-55
