Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2018-10-30,127.489998,128.880005,126.91999799999999,127.83000200000001,63152400,122.905254,106.7410523,117.9276669,129.1142814,Increasing
2018-10-29,127.629997,128.779999,127.449997,128.720001,44891700,123.76096499999998,107.842423,118.9403335,130.0382439,Increasing
2018-10-28,128.479996,129.029999,128.330002,128.449997,37362400,123.50136299999998,108.8942449,119.88916680000001,130.8840887,Decreasing
2018-10-27,128.619995,129.5,128.050003,129.5,48948400,124.51091399999999,109.78544939999999,120.76350009999999,131.74155090000002,Increasing
2018-10-26,130.020004,133.0,129.66000400000001,133.0,70974100,127.876074,110.3725162,121.7201668,133.06781740000002,Increasing
2018-10-25,132.940002,133.600006,131.169998,132.169998,69228100,127.078049,111.0948689,122.6648335,134.23479809999998,Decreasing
2018-10-24,131.559998,131.600006,128.149994,128.78999299999998,74711700,123.82826100000001,113.2119183,123.62966670000002,134.0474151,Decreasing
2018-10-23,128.78999299999998,130.869995,126.610001,130.419998,91287500,125.39546899999999,114.1652991,124.28233329999999,134.39936740000002,Increasing
2018-10-22,130.0,130.570007,128.240005,128.46000700000002,62014800,123.51098700000001,114.96684840000002,124.8426669,134.7184854,Decreasing
2018-10-21,129.25,130.279999,128.300003,129.08999599999999,48096700,124.11670600000001,115.87709040000001,125.40366680000001,134.93024319999998,Decreasing
2018-10-20,128.96000700000002,129.520004,128.08999599999999,129.360001,37816300,124.37630800000001,116.9535132,125.9551669,134.95682050000002,Increasing
2018-10-19,129.100006,129.559998,128.320007,128.53999299999998,31666300,123.587892,118.0874253,126.47300020000002,134.8585751,Decreasing
2018-10-18,128.580002,128.75,125.760002,126.410004,56517100,121.53996200000002,119.1048311,126.84866699999999,134.5925029,Decreasing
2018-10-17,128.399994,129.369995,126.260002,126.599998,72842100,121.722637,120.190797,127.2288335,134.26686999999998,Decreasing
2018-10-16,127.959999,129.570007,125.059998,127.139999,88528500,122.24183400000001,121.6289771,127.63116699999999,133.6333568,Decreasing
2018-10-15,126.410004,127.220001,123.800003,124.510002,68856600,119.71316000000002,123.1164763,127.9235004,132.7305246,Decreasing
2018-10-14,124.75,124.769997,122.110001,122.239998,68939000,117.53060900000001,123.59275600000001,128.0033337,132.4139113,Decreasing
2018-10-13,122.309998,124.900002,121.629997,124.449997,48362700,119.65546599999999,123.48945590000001,127.98133370000001,132.4732114,Increasing
2018-10-12,124.400002,125.400002,122.58000200000001,123.589996,51827300,118.828598,123.045606,127.8490003,132.6523946,Decreasing
2018-10-11,123.879997,124.949997,122.870003,124.949997,35874300,120.13620300000001,122.69670159999998,127.72833349999999,132.7599655,Increasing
2018-10-10,125.900002,127.32,125.650002,127.040001,51023100,122.14568799999999,122.616033,127.66800020000001,132.7199674,Increasing
2018-10-09,127.0,129.16000400000001,126.370003,128.470001,65270900,123.520597,122.6064498,127.65216699999999,132.6978842,Increasing
2018-10-08,128.75,129.25,127.400002,127.5,45809500,122.587966,122.5939029,127.6245004,132.65509790000002,Decreasing
2018-10-07,128.25,128.399994,125.160004,125.900002,68695100,121.049608,122.4865925,127.4980004,132.5094083,Decreasing
2018-10-06,127.120003,127.849998,126.519997,127.209999,37709700,122.309137,122.6741703,127.2633335,131.85249679999998,Increasing
2018-10-05,127.230003,128.03999299999998,126.559998,126.690002,32842300,121.809174,123.04101829999999,127.00250009999999,130.9639818,Decreasing
2018-10-04,126.540001,126.82,123.379997,123.379997,51655200,118.62668899999998,122.8276392,126.75316670000001,130.6786943,Decreasing
2018-10-03,122.760002,124.879997,122.599998,124.239998,47572900,119.453558,122.5538523,126.48350009999999,130.4131478,Increasing
2018-10-02,124.57,124.699997,122.910004,123.25,39546200,118.5017,122.2826504,126.20999979999999,130.1373491,Decreasing
2018-10-01,124.050003,126.400002,124.0,126.370003,47099700,121.501502,122.346906,126.02833319999999,129.7097604,Increasing
2018-09-30,126.089996,126.489998,124.360001,124.43,42090600,119.63623999999999,122.395242,125.83349979999998,129.2717577,Decreasing
2018-09-29,124.82,125.120003,123.099998,124.25,40621400,119.463174,122.3761274,125.6009999,128.8258723,Decreasing
2018-09-28,125.029999,125.559998,124.190002,125.32,32220100,120.491951,122.3330336,125.50349979999999,128.67396599999998,Increasing
2018-09-27,124.470001,127.510002,124.33000200000001,127.349998,37194000,122.443743,122.374816,125.4528332,128.53085049999999,Increasing
2018-09-26,127.639999,128.119995,125.980003,126.010002,35012300,121.155371,122.4030622,125.4251665,128.44727079999998,Decreasing
2018-09-25,125.849998,126.400002,124.970001,125.599998,37329200,120.76116299999998,122.4277133,125.44916640000001,128.4706195,Decreasing
2018-09-24,125.849998,126.58000200000001,124.660004,126.559998,32484000,121.684177,122.77753590000002,125.59383319999999,128.41013049999998,Increasing
2018-09-23,125.949997,127.209999,125.260002,127.099998,40188000,122.203374,123.03989140000002,125.7369999,128.4341085,Increasing
2018-09-22,128.369995,128.570007,126.610001,126.849998,36365100,121.96300600000001,123.272819,125.9113334,128.5498477,Decreasing
2018-09-21,127.0,127.290001,125.910004,126.300003,25524600,121.43419899999999,123.48713400000001,126.02350020000002,128.5598665,Decreasing
