Model,Mean,STD,Time
GradientBoostingClassifier,0.519,0.025,0.331
ExtraTreesClassifier,0.515,0.025,0.01
DecisionTreeClassifier,0.512,0.024,0.007
RandomForestClassifier,0.512,0.026,0.011
AdaBoostClassifier,0.511,0.026,0.056
VotingClassifier,0.511,0.026,0.336
SVC,0.49,0.021,0.367
MLPClassifier,0.489,0.021,0.263
GaussianNB,0.47,0.028,0.007
LogisticRegression,0.439,0.015,0.011
KNeighborsClassifier,0.437,0.009,0.009
LinearDiscriminantAnalysis,0.424,0.015,0.008
