Model,Mean,STD
Voting(GBC-ET),0.786,0.009
RandomForestClassifier,0.785,0.01
ExtraTreesClassifier,0.784,0.022
KNeighborsClassifier,0.774,0.016
AdaBoostClassifier,0.774,0.026
GradientBoostingClassifier,0.771,0.007
DecisionTreeClassifier,0.716,0.038
SVC,0.7,0.019
GaussianNB,0.568,0.019
LDA,0.561,0.02
LogisticRegression,0.559,0.009
