Beacon,RSSI
F7:24:98:9B:B6:EA,-55
FB:D3:B5:B9:89:F2,-74
C8:5B:EA:43:6F:75,-58
DF:4A:42:50:5F:BB,-75
C2:3A:7C:D2:D8:30,-75
EA:EF:87:2F:4D:93,-67
C9:EC:7A:17:D8:D5,-66
F7:24:98:9B:B6:EA,-56
FB:D3:B5:B9:89:F2,-64
C8:5B:EA:43:6F:75,-66
EA:EF:87:2F:4D:93,-68
C9:EC:7A:17:D8:D5,-81
F7:24:98:9B:B6:EA,-49
C8:5B:EA:43:6F:75,-69
FB:D3:B5:B9:89:F2,-74
EA:EF:87:2F:4D:93,-66
F7:24:98:9B:B6:EA,-55
C8:5B:EA:43:6F:75,-70
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-74
C8:5B:EA:43:6F:75,-69
EA:EF:87:2F:4D:93,-66
C9:EC:7A:17:D8:D5,-81
F7:24:98:9B:B6:EA,-53
C8:5B:EA:43:6F:75,-69
C9:EC:7A:17:D8:D5,-72
F7:24:98:9B:B6:EA,-56
C8:5B:EA:43:6F:75,-57
FB:D3:B5:B9:89:F2,-65
EA:EF:87:2F:4D:93,-67
C9:EC:7A:17:D8:D5,-80
F7:24:98:9B:B6:EA,-56
C8:5B:EA:43:6F:75,-70
FB:D3:B5:B9:89:F2,-65
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-67
F7:24:98:9B:B6:EA,-55
FB:D3:B5:B9:89:F2,-75
C8:5B:EA:43:6F:75,-69
EA:EF:87:2F:4D:93,-69
C9:EC:7A:17:D8:D5,-81
F7:24:98:9B:B6:EA,-56
FB:D3:B5:B9:89:F2,-65
C8:5B:EA:43:6F:75,-68
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-75
F7:24:98:9B:B6:EA,-56
C9:EC:7A:17:D8:D5,-82
EA:EF:87:2F:4D:93,-69
F7:24:98:9B:B6:EA,-49
C8:5B:EA:43:6F:75,-55
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-66
F7:24:98:9B:B6:EA,-57
C8:5B:EA:43:6F:75,-71
C9:EC:7A:17:D8:D5,-78
EA:EF:87:2F:4D:93,-68
F7:24:98:9B:B6:EA,-49
FB:D3:B5:B9:89:F2,-63
C8:5B:EA:43:6F:75,-57
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-67
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-77
EA:EF:87:2F:4D:93,-68
F7:24:98:9B:B6:EA,-54
C8:5B:EA:43:6F:75,-56
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-78
EA:EF:87:2F:4D:93,-67
C9:EC:7A:17:D8:D5,-74
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-62
C8:5B:EA:43:6F:75,-56
EA:EF:87:2F:4D:93,-67
F7:24:98:9B:B6:EA,-55
C8:5B:EA:43:6F:75,-76
FB:D3:B5:B9:89:F2,-77
C9:EC:7A:17:D8:D5,-77
EA:EF:87:2F:4D:93,-69
F7:24:98:9B:B6:EA,-48
C8:5B:EA:43:6F:75,-57
FB:D3:B5:B9:89:F2,-63
C2:3E:11:B5:57:30,-76
C9:EC:7A:17:D8:D5,-81
EA:EF:87:2F:4D:93,-68
F7:24:98:9B:B6:EA,-56
C8:5B:EA:43:6F:75,-71
FB:D3:B5:B9:89:F2,-75
C9:EC:7A:17:D8:D5,-73
F7:24:98:9B:B6:EA,-49
C8:5B:EA:43:6F:75,-58
EA:EF:87:2F:4D:93,-66
F7:24:98:9B:B6:EA,-55
C8:5B:EA:43:6F:75,-68
C9:EC:7A:17:D8:D5,-73
EA:EF:87:2F:4D:93,-71
F7:24:98:9B:B6:EA,-48
C8:5B:EA:43:6F:75,-58
FB:D3:B5:B9:89:F2,-64
FB:D3:B5:B9:89:F2,-65
EA:EF:87:2F:4D:93,-68
F7:24:98:9B:B6:EA,-56
FB:D3:B5:B9:89:F2,-73
C8:5B:EA:43:6F:75,-65
C9:EC:7A:17:D8:D5,-73
EA:EF:87:2F:4D:93,-72
