0,1,2,3,4,position
-74.0,-77.0,-63.0,-69.0,-62.0,8
-74.0,-68.0,-63.0,-69.0,-62.0,8
-65.0,-68.0,-63.0,-69.0,-62.0,8
-65.0,-68.0,-63.0,-74.0,-62.0,8
-65.0,-68.0,-63.0,-74.0,-64.0,8
-65.0,-64.0,-63.0,-74.0,-64.0,8
-65.0,-64.0,-66.0,-74.0,-64.0,8
-65.0,-64.0,-66.0,-69.0,-64.0,8
-65.0,-66.0,-66.0,-69.0,-64.0,8
-65.0,-66.0,-67.0,-69.0,-64.0,8
-65.0,-66.0,-67.0,-73.0,-64.0,8
-65.0,-64.0,-67.0,-73.0,-64.0,8
-74.0,-64.0,-67.0,-73.0,-64.0,8
-74.0,-64.0,-65.0,-73.0,-64.0,8
-74.0,-64.0,-65.0,-69.0,-64.0,8
-74.0,-78.0,-65.0,-69.0,-64.0,8
-65.0,-78.0,-65.0,-69.0,-64.0,8
-65.0,-78.0,-68.0,-69.0,-64.0,8
-65.0,-65.0,-68.0,-69.0,-64.0,8
-71.0,-65.0,-68.0,-69.0,-64.0,8
-71.0,-65.0,-65.0,-69.0,-64.0,8
-71.0,-75.0,-65.0,-69.0,-64.0,8
-72.0,-75.0,-65.0,-69.0,-64.0,8
-65.0,-75.0,-65.0,-69.0,-64.0,8
-65.0,-75.0,-67.0,-69.0,-64.0,8
-65.0,-75.0,-67.0,-69.0,-65.0,8
-65.0,-69.0,-67.0,-69.0,-65.0,8
-72.0,-69.0,-67.0,-69.0,-65.0,8
-72.0,-69.0,-67.0,-72.0,-65.0,8
-72.0,-69.0,-67.0,-72.0,-64.0,8
-72.0,-75.0,-67.0,-72.0,-64.0,8
-71.0,-75.0,-67.0,-72.0,-64.0,8
-71.0,-75.0,-67.0,-70.0,-64.0,8
-71.0,-68.0,-67.0,-70.0,-64.0,8
-65.0,-68.0,-67.0,-70.0,-64.0,8
-65.0,-68.0,-67.0,-69.0,-64.0,8
-65.0,-68.0,-67.0,-69.0,-65.0,8
-70.0,-75.0,-67.0,-69.0,-65.0,8
-70.0,-75.0,-67.0,-72.0,-65.0,8
-70.0,-75.0,-67.0,-72.0,-64.0,8
-70.0,-68.0,-67.0,-72.0,-64.0,8
-70.0,-68.0,-67.0,-69.0,-64.0,8
-70.0,-68.0,-67.0,-69.0,-63.0,8
