4,-71,-65,-83,-70,-70
4,-71,-66,-66,-71,-80
4,-70,-64,-77,-65,-68
4,-71,-69,-66,-68,-76
4,-72,-65,-79,-66,-68
4,-71,-69,-65,-71,-76
4,-72,-66,-72,-74,-71
4,-70,-65,-82,-67,-68
4,-71,-67,-83,-73,-76
4,-71,-68,-78,-70,-69
4,-71,-69,-79,-75,-68
4,-71,-65,-78,-73,-69
4,-70,-65,-80,-72,-78
4,-69,-71,-64,-65,-68
4,-70,-65,-78,-77,-75
4,-69,-65,-65,-72,-69
4,-70,-71,-78,-75,-66
4,-71,-66,-72,-70,-70
4,-69,-64,-77,-82,-70
4,-70,-66,-65,-67,-75
4,-70,-65,-79,-77,-70
4,-69,-70,-65,-68,-70
4,-71,-69,-78,-69,-67
4,-70,-65,-80,-69,-74
4,-70,-71,-65,-65,-66
4,-71,-65,-76,-66,-76
4,-70,-68,-66,-66,-69
4,-71,-69,-78,-72,-67
4,-69,-69,-83,-70,-70
4,-70,-67,-65,-66,-73
4,-71,-65,-66,-75,-72
4,-71,-68,-78,-68,-69
4,-70,-66,-81,-69,-72
4,-70,-65,-65,-71,-76
4,-71,-67,-79,-67,-68
4,-69,-67,-66,-72,-77
4,-69,-65,-79,-79,-69
4,-70,-67,-80,-67,-68
4,-71,-65,-65,-79,-77
4,-70,-66,-80,-71,-69
4,-70,-66,-65,-75,-71
4,-70,-65,-73,-74,-70
4,-71,-64,-65,-74,-68
4,-71,-64,-74,-68,-78
4,-71,-66,-72,-67,-68
4,-72,-65,-79,-67,-68
4,-71,-68,-66,-67,-78
4,-70,-65,-78,-70,-67
4,-73,-71,-81,-64,-76
4,-73,-68,-85,-71,-67
4,-71,-66,-65,-69,-69
4,-72,-70,-75,-76,-74
4,-70,-71,-73,-66,-74
4,-72,-65,-79,-69,-69
4,-72,-67,-76,-66,-71
4,-71,-71,-75,-67,-75
4,-72,-67,-77,-66,-68
4,-72,-66,-74,-67,-69
4,-69,-67,-76,-66,-68
4,-71,-71,-74,-66,-69
4,-70,-66,-64,-69,-67
4,-72,-71,-70,-73,-68
4,-71,-68,-65,-73,-73
4,-71,-68,-76,-66,-69
4,-69,-68,-71,-69,-68
4,-72,-67,-71,-66,-68
4,-71,-68,-71,-66,-73
4,-70,-71,-66,-74,-78
4,-71,-67,-77,-66,-69
4,-71,-66,-66,-74,-77
4,-70,-67,-76,-66,-69
4,-72,-67,-71,-66,-68
4,-72,-65,-77,-66,-69
4,-70,-66,-66,-66,-69
4,-72,-65,-76,-66,-76
4,-72,-71,-66,-66,-68
4,-72,-65,-77,-76,-77
4,-71,-71,-66,-76,-69
4,-71,-68,-72,-76,-69
4,-71,-67,-76,-75,-66
4,-70,-71,-66,-68,-69
4,-72,-65,-75,-66,-68
4,-70,-65,-71,-66,-69
4,-70,-67,-77,-74,-78
4,-72,-71,-76,-66,-68
4,-72,-67,-77,-73,-78
4,-72,-66,-77,-66,-73
4,-71,-66,-71,-66,-69
4,-72,-71,-77,-65,-70
4,-71,-68,-66,-69,-70
4,-69,-68,-77,-66,-73
4,-70,-65,-66,-66,-78
4,-72,-71,-78,-66,-70
4,-69,-65,-66,-74,-78
4,-72,-68,-76,-74,-72
4,-71,-68,-75,-75,-73
4,-70,-68,-76,-72,-72
