busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
6578,7,12191,1.0,3.5,32.0
6567,45,3383,1.0,1.5,63.0
9518,15,5082,0.0,7.0,94.0
9518,15,5082,0.0,8.0,64.0
3718,270,10851,0.0,1.5,31.0
3718,270,10851,0.0,4.5,32.0
3718,270,10851,0.0,7.0,32.0
5025,7,3906,1.0,3.5,0.0
5025,7,3906,1.0,4.5,32.0
6233,189,2098,1.0,4.5,31.0
7575,16,4169,0.0,3.5,0.0
7575,16,4169,0.0,5.5,64.0
3346,237,8098,0.0,3.0,158.0
3346,237,8098,0.0,6.0,126.0
4848,2,5763,0.0,23.0,159.0
4848,2,5763,0.0,0.5,31.0
9350,170,9280,0.0,21.5,30.0
9350,170,9280,0.0,23.5,0.0
9350,170,9280,0.0,2.5,94.0
199,285,11992,1.0,18.5,223.0
199,285,11992,1.0,21.5,349.0
3604,257,11603,1.0,17.5,95.0
3604,257,11603,1.0,19.0,63.0
3604,257,11603,1.0,21.5,126.0
3604,257,11603,1.0,22.5,124.0
3604,257,11603,1.0,0.0,127.0
3604,257,11603,1.0,2.0,63.0
3604,257,11603,1.0,3.5,62.0
3604,257,11603,1.0,5.5,62.0
5733,82,1433,0.0,2.5,94.0
5733,82,1433,0.0,5.0,126.0
5733,82,1433,0.0,8.5,0.0
5733,82,1433,0.0,10.5,0.0
2824,209,7909,1.0,6.5,406.0
8002,155,8137,0.0,11.0,0.0
8002,155,8137,0.0,8.5,37.0
2253,227,12260,1.0,19.0,627.0
2253,227,12260,1.0,19.0,472.0
6173,179,2313,1.0,17.0,0.0
6173,179,2313,1.0,19.5,0.0
6173,179,2313,1.0,22.0,31.0
6173,179,2313,1.0,1.0,32.0
6730,119,6642,1.0,2.5,62.0
4105,163,9578,0.0,15.0,63.0
4105,163,9578,0.0,20.5,93.0
4105,163,9578,0.0,0.0,31.0
4592,28,4617,0.0,17.5,64.0
4592,28,4617,0.0,20.0,62.0
4592,28,4617,0.0,1.5,62.0
4592,28,4617,0.0,3.5,128.0
4536,164,6247,1.0,18.0,31.0
4536,164,6247,1.0,20.0,32.0
4536,164,6247,1.0,0.5,31.0
4536,164,6247,1.0,3.0,31.0
4536,164,6247,1.0,5.5,63.0
4882,35,3310,1.0,14.0,62.0
4882,35,3310,1.0,7.5,31.0
4882,35,3310,1.0,10.0,0.0
3522,284,12077,0.0,4.0,93.0
3522,284,12077,0.0,6.5,159.0
8031,141,8222,1.0,5.0,0.0
8031,141,8222,1.0,6.5,62.0
8031,141,8222,1.0,8.0,0.0
253,24,5111,0.0,15.5,94.0
253,24,5111,0.0,17.0,126.0
253,24,5111,0.0,19.5,32.0
253,24,5111,0.0,22.0,158.0
4052,187,1905,0.0,11.5,31.0
4052,187,1905,0.0,1.0,0.0
3839,114,6579,1.0,7.0,63.0
3839,114,6579,1.0,10.0,0.0
3241,299,10751,0.0,5.0,31.0
5569,64,1517,1.0,16.5,94.0
5569,64,1517,1.0,18.5,31.0
5569,64,1517,1.0,21.5,314.0
5569,64,1517,1.0,0.0,158.0
5569,64,1517,1.0,5.5,125.0
4856,40,5658,1.0,2.0,64.0
4856,40,5658,1.0,4.5,94.0
4856,40,5658,1.0,6.5,32.0
4856,40,5658,1.0,8.0,32.0
4856,40,5658,1.0,9.5,93.0
3607,270,10874,1.0,11.0,0.0
3607,270,10874,1.0,16.5,0.0
3607,270,10874,1.0,19.0,0.0
3370,248,8068,0.0,19.5,253.0
3370,248,8068,0.0,20.0,477.0
3370,248,8068,0.0,0.0,344.0
3753,255,12117,0.0,23.5,31.0
3753,255,12117,0.0,1.0,0.0
3753,255,12117,0.0,3.5,31.0
3825,111,7462,1.0,17.5,31.0
3825,111,7462,1.0,19.0,0.0
3825,111,7462,1.0,20.0,0.0
3825,111,7462,1.0,22.5,31.0
3825,111,7462,1.0,0.0,32.0
3777,269,10770,0.0,18.5,32.0
3777,269,10770,0.0,20.0,64.0
3777,269,10770,0.0,22.0,31.0
3777,269,10770,0.0,23.5,63.0
3777,269,10770,0.0,1.5,64.0
3777,269,10770,0.0,3.0,94.0
3777,269,10770,0.0,4.5,94.0
3777,269,10770,0.0,6.5,62.0
9617,0,2920,0.0,17.0,0.0
9617,0,2920,0.0,19.0,63.0
9617,0,2920,0.0,21.0,32.0
9617,0,2920,0.0,23.5,31.0
9617,0,2920,0.0,7.5,32.0
9638,170,9841,1.0,20.5,63.0
7071,186,1938,1.0,19.0,94.0
7071,186,1938,1.0,22.0,94.0
3246,299,10732,0.0,4.5,186.0
6268,174,1782,0.0,16.5,31.0
6268,174,1782,0.0,19.5,57.0
6088,92,236,1.0,16.0,32.0
6088,92,236,1.0,18.0,95.0
6088,92,236,1.0,20.0,31.0
6088,92,236,1.0,22.5,32.0
6088,92,236,1.0,0.0,94.0
6088,92,236,1.0,2.5,157.0
6088,92,236,1.0,5.0,156.0
6088,92,236,1.0,7.0,32.0
4546,19,4297,0.0,23.0,62.0
4546,19,4297,0.0,4.5,0.0
4546,19,4297,0.0,7.0,23.0
458,43,5252,0.0,18.5,31.0
458,43,5252,0.0,20.5,94.0
458,43,5252,0.0,23.0,31.0
5639,107,6998,0.0,13.0,32.0
5639,107,6998,0.0,17.5,33.0
5639,107,6998,0.0,21.0,0.0
