4835,MTA NYCT_B15,MTA_308230,0,21.5,0
613,MTABC_Q38,MTA_551305,1,3.0,156.0
613,MTABC_Q38,MTA_551305,1,5.5,93.0
4723,MTA NYCT_BX9,MTA_100609,1,17.0,31.0
4723,MTA NYCT_BX9,MTA_100609,1,17.5,127.0
4723,MTA NYCT_BX9,MTA_100609,1,19.5,95.0
4723,MTA NYCT_BX9,MTA_100609,1,22.0,126.0
4723,MTA NYCT_BX9,MTA_100609,1,22.0,96.0
4723,MTA NYCT_BX9,MTA_100609,1,0.5,0.0
4723,MTA NYCT_BX9,MTA_100609,1,3.0,187.0
4723,MTA NYCT_BX9,MTA_100609,1,5.0,0.0
4723,MTA NYCT_BX9,MTA_100609,1,5.5,127.0
4723,MTA NYCT_BX9,MTA_100609,1,7.5,0.0
4723,MTA NYCT_BX9,MTA_100609,1,7.5,64.0
4869,MTA NYCT_B36,MTA_302845,1,23.0,96.0
4869,MTA NYCT_B36,MTA_302845,1,1.5,94.0
4869,MTA NYCT_B36,MTA_302845,1,3.0,63.0
2731,MTA NYCT_X7,MTA_200104,0,17.5,31.0
2731,MTA NYCT_X7,MTA_200104,0,20.0,63.0
3149,MTABC_BM1,MTA_350035,1,18.0,61.0
4215,MTA NYCT_Q20B,MTA_505033,0,20.0,222.0
4215,MTA NYCT_Q20B,MTA_505033,0,8.5,63.0
525,MTABC_Q25,MTA_550987,0,20.5,63.0
6055,MTA NYCT_BX7,MTA_402554,0,11.0,63.0
508,MTABC_B100,MTA_307361,1,19.0,62.0
3600,MTABC_Q11,MTA_550480,1,0.5,93.0
3600,MTABC_Q11,MTA_550480,1,2.5,444.0
3600,MTABC_Q11,MTA_550480,1,4.5,311.0
395,MTA NYCT_B35,MTA_302711,0,19.5,126.0
395,MTA NYCT_B35,MTA_302711,0,21.5,64.0
5201,MTA NYCT_M8,MTA_401531,0,19.0,31.0
6024,MTABC_Q50,MTA_100322,1,11.0,32.0
6024,MTABC_Q50,MTA_100322,1,18.0,63.0
6024,MTABC_Q50,MTA_100322,1,20.5,31.0
6024,MTABC_Q50,MTA_100322,1,5.0,32.0
6024,MTABC_Q50,MTA_100322,1,5.0,0.0
