busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
3433,249,6273,1.0,2.0,856.0
3433,249,6273,1.0,5.0,636.0
3984,160,7979,1.0,5.0,96.0
3984,160,7979,1.0,7.5,32.0
5517,255,8164,0.0,11.5,31.0
5517,255,8164,0.0,13.0,63.0
5517,255,8164,0.0,14.5,63.0
5517,255,8164,0.0,16.5,0.0
5517,255,8164,0.0,19.5,63.0
5517,255,8164,0.0,21.5,160.0
5517,255,8164,0.0,23.5,283.0
5517,255,8164,0.0,1.0,62.0
5517,255,8164,0.0,3.0,63.0
5517,255,8164,0.0,5.0,127.0
5517,255,8164,0.0,7.0,35.0
5517,255,8164,0.0,9.0,31.0
5517,255,8164,0.0,10.5,31.0
4790,89,1242,1.0,2.0,94.0
4790,89,1242,1.0,4.0,68.0
4790,89,1242,1.0,9.0,93.0
6881,145,6905,1.0,18.0,32.0
6881,145,6905,1.0,19.0,0.0
5693,107,6021,1.0,20.0,61.0
5693,107,6021,1.0,0.0,31.0
5693,107,6021,1.0,4.0,30.0
5693,107,6021,1.0,10.0,0.0
4057,183,1432,0.0,1.5,93.0
6437,170,6930,0.0,1.0,0.0
6437,170,6930,0.0,3.0,0.0
502,232,4886,1.0,17.0,0.0
502,232,4886,1.0,18.0,63.0
4538,30,3639,0.0,6.0,62.0
4538,30,3639,0.0,8.0,31.0
367,48,2630,0.0,18.5,127.0
367,48,2630,0.0,22.0,283.0
367,48,2630,0.0,1.5,94.0
367,48,2630,0.0,5.0,31.0
4772,84,803,0.0,16.0,31.0
4772,84,803,0.0,18.0,30.0
8856,290,8970,0.0,2.0,33.0
3913,123,6137,1.0,18.0,31.0
3913,123,6137,1.0,19.5,0.0
3913,123,6137,1.0,21.5,32.0
9509,38,4293,1.0,6.5,33.0
3825,111,6172,1.0,17.5,63.0
3825,111,6172,1.0,19.0,97.0
3825,111,6172,1.0,20.0,31.0
3825,111,6172,1.0,22.5,94.0
3825,111,6172,1.0,0.0,126.0
9527,155,6280,0.0,19.5,31.0
9527,155,6280,0.0,21.5,64.0
3735,270,8447,0.0,5.0,0.0
3735,270,8447,0.0,7.0,0.0
4472,152,7015,1.0,17.0,32.0
4331,78,694,0.0,17.5,0.0
4331,78,694,0.0,19.0,31.0
4331,78,694,0.0,0.0,32.0
4331,78,694,0.0,1.5,0.0
4331,78,694,0.0,4.5,0.0
4331,78,694,0.0,6.0,94.0
4331,78,694,0.0,7.0,95.0
4331,78,694,0.0,8.0,0.0
559,274,8496,1.0,23.5,63.0
559,274,8496,1.0,2.0,30.0
381,52,3435,0.0,4.0,33.0
381,52,3435,0.0,6.5,0.0
7066,174,2113,1.0,16.5,31.0
7066,174,2113,1.0,18.0,63.0
271,59,5830,1.0,11.0,847.0
3723,278,8669,0.0,11.5,0.0
3723,278,8669,0.0,3.5,126.0
3723,278,8669,0.0,5.5,126.0
5154,140,6783,0.0,7.0,32.0
4203,147,6986,1.0,9.5,32.0
7818,76,652,0.0,17.5,31.0
