0,1,2,3,4,position
-81.0,-84.0,-90.0,-78.0,-82.0,2
-81.0,-84.0,-90.0,-81.0,-82.0,2
-81.0,-84.0,-90.0,-81.0,-84.0,2
-81.0,-84.0,-90.0,-84.0,-84.0,2
-81.0,-84.0,-90.0,-84.0,-81.0,2
-81.0,-86.0,-90.0,-84.0,-81.0,2
-84.0,-86.0,-90.0,-84.0,-81.0,2
-84.0,-86.0,-90.0,-84.0,-83.0,2
-84.0,-84.0,-90.0,-84.0,-83.0,2
-84.0,-84.0,-90.0,-83.0,-83.0,2
-84.0,-84.0,-90.0,-83.0,-84.0,2
-84.0,-87.0,-90.0,-83.0,-83.0,2
-84.0,-87.0,-90.0,-87.0,-83.0,2
-86.0,-87.0,-90.0,-87.0,-83.0,2
-86.0,-87.0,-90.0,-87.0,-84.0,2
-86.0,-84.0,-90.0,-87.0,-84.0,2
-86.0,-84.0,-90.0,-80.0,-84.0,2
-80.0,-85.0,-90.0,-88.0,-86.0,2
-80.0,-82.0,-90.0,-88.0,-86.0,2
-87.0,-82.0,-90.0,-88.0,-86.0,2
-87.0,-82.0,-90.0,-76.0,-86.0,2
-87.0,-89.0,-90.0,-76.0,-86.0,2
-80.0,-89.0,-90.0,-76.0,-86.0,2
-80.0,-89.0,-88.0,-76.0,-86.0,2
-80.0,-89.0,-88.0,-89.0,-86.0,2
-84.0,-89.0,-88.0,-89.0,-86.0,2
-84.0,-89.0,-88.0,-76.0,-86.0,2
-84.0,-86.0,-88.0,-76.0,-86.0,2
-80.0,-86.0,-88.0,-76.0,-86.0,2
-80.0,-86.0,-87.0,-76.0,-86.0,2
-80.0,-86.0,-87.0,-76.0,-81.0,2
-85.0,-86.0,-87.0,-76.0,-81.0,2
-85.0,-86.0,-87.0,-77.0,-81.0,2
-85.0,-84.0,-87.0,-77.0,-81.0,2
-85.0,-84.0,-87.0,-79.0,-81.0,2
-85.0,-80.0,-87.0,-79.0,-81.0,2
-87.0,-80.0,-87.0,-79.0,-81.0,2
-87.0,-81.0,-87.0,-79.0,-81.0,2
-87.0,-86.0,-87.0,-79.0,-81.0,2
-81.0,-86.0,-87.0,-79.0,-81.0,2
-81.0,-86.0,-88.0,-79.0,-81.0,2
-81.0,-86.0,-88.0,-79.0,-87.0,2
